otu name	Taxonomy	Percent Homology	evalue	bitscore	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg
OTU_11	ay571831.1 variovorax sp. 44/31  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__variovorax;s__variovorax paradoxus;superkingdom__bacteria	98.9010989	1.80E-133	479.179	6	5	10	15	17	89	31	1701
OTU_12	empedobacter sp. c2_7 ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__empedobacter;s__empedobacter sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.6043956	1.58E-121	439.505	0	1	55	10	8	12	1352	0
OTU_13	uncultured aquabacterium sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiales;g__aquabacterium;s__aquabacterium spp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	2	1	14	9	30	1075	123	7
OTU_14	am902721.2 anoxybacillus tunensis str. a06  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__anoxybacillus;s__anoxybacillus tunensis;superkingdom__bacteria	98.9010989	1.80E-133	479.179	2	2	82	45	54	4	1362	17
OTU_15	fj409572.1 corynebacterium diphtheriae str. c443  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__corynebacteriaceae;g__corynebacterium;s__corynebacterium diphtheriae;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	98.90510949	5.19E-134	480.982	3	12	68	28	5	3	1108	18
OTU_16	uncultured arthrobacter sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__micrococcaceae;g__arthrobacter;s__arthrobacter spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	99.26739927	4.24E-135	484.589	8	9	7	55	7	60	28	898
OTU_17	gq001873.1 topographical and temporal human skin microbiome skin axillary vault clone nbu165c05c1  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__staphylococcaceae;g__staphylococcus;s__staphylococcus epidermidis;superkingdom__bacteria	99.26739927	4.24E-135	484.589	112	20	22	20	288	82	470	8
OTU_18	proteiniphilum acetatigenes ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__bacteroidales;f__porphyromonadaceae;g__proteiniphilum;s__proteiniphilum acetatigenes;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	4	0	6	11	0	3	810	0
OTU_19	ruminococcus sp. zs2_15 ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__ruminococcaceae;g__ruminococcus;s__ruminococcus sp.;superkingdom__bacteria	96.3099631	3.72E-123	444.915	0	1	0	10	4	2	744	2
OTU_20	sphingomonas sp. ng15 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingomonas;s__sphingomonas sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	1	0	6	7	3	731	6	5
OTU_21	dq340557.1 bifidobacterium thermophilum subsp. infantis str. rbl67  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__bifidobacteriales;f__bifidobacteriaceae;g__bifidobacterium;s__bifidobacterium thermophilum;superkingdom__bacteria;subclass  actinobacteridae	98.9010989	1.80E-133	479.179	0	4	23	7	24	11	755	2
OTU_22	uncultured cloacibacterium sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__cloacibacterium;s__cloacibacterium spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	0	6	136	16	1	2	481	16
OTU_23	gq073305.1 topographical and temporal human skin microbiome skin palm clone nbw207e04c1  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus salivarius;superkingdom__bacteria	99.26470588	1.48E-134	482.786	10	28	79	5	40	38	311	13
OTU_24	gq040290.1 topographical and temporal human skin microbiome skin manubrium clone nbw952e07c1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__pseudoxanthomonas;s__pseudoxanthomonas taiwanensis;superkingdom__bacteria	98.9010989	1.80E-133	479.179	2	1	16	2	5	3	502	2
OTU_25	uncultured longilinea sp. ;k__bacteria;p__chloroflexi;c__anaerolineae;o__anaerolineales;f__anaerolineaceae;g__longilinea;s__longilinea spp.;superkingdom__bacteria	94.13919414	4.25E-116	421.471	0	0	2	9	0	0	496	0
OTU_26	af513979.1 alkanindiges illinoisensis str. mvab hex1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__alkanindiges;s__alkanindiges illinoisensis;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	6	0	443	13	1
OTU_27	af100733.1 stenotrophomonas maltophilia vun10003  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__stenotrophomonas;s__stenotrophomonas maltophilia;superkingdom__bacteria	98.9010989	1.80E-133	479.179	2	2	3	4	183	8	292	3
OTU_28	uncultured dokdonella sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__dokdonella;s__dokdonella spp.;superkingdom__bacteria	98.16849817	9.35E-131	470.162	1	0	1	3	2	2	443	1
OTU_29	aj438048.1 corynebacterium tuberculostearicum str. cip102076  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__corynebacteriaceae;g__corynebacterium;s__corynebacterium tuberculostearicum;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	98.90510949	5.19E-134	480.982	16	6	15	3	3	45	406	2
OTU_30	petrobacter sp. enrichment culture clone seq55_11fclone_aer ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__hydrogenophilales;f__hydrogenophilaceae;g__tepidiphilus;s__petrobacter sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	3	4	1	3	393	2
OTU_31	sphingobacterium sp. vtt e_073041 ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__sphingobacteriaceae;g__sphingobacterium;s__sphingobacterium sp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.53479853	2.20E-132	475.572	0	0	12	2	1	2	364	0
OTU_32	sediminibacterium salmoneum ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__sediminibacterium;s__sediminibacterium salmoneum;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	0	0	0	3	0	93	278	2
OTU_33	uncultured atopostipes sp. ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__atopostipes;s__atopostipes spp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	2	8	48	10	212	30	53	2
OTU_34	dq178233.1 pseudomonas putida str. pc36  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas putida;superkingdom__bacteria;species group  pseudomonas putida group	98.9010989	1.80E-133	479.179	4	5	0	5	112	47	256	18
OTU_35	actinomyces sp. ms2 ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__actinomycetaceae;g__actinomyces;s__actinomyces sp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__actinomycineae	96.33699634	3.06E-124	448.522	0	3	2	6	2	1	324	1
OTU_36	candidatus rhabdochlamydia porcellionis ;k__bacteria;p__chlamydiae;c__chlamydiia;o__chlamydiales;f__rhabdochlamydiaceae;g__candidatus rhabdochlamydia;s__candidatus rhabdochlamydia porcellionis;superkingdom__bacteria;superphylum__chlamydiae/verrucomicrobia group	90.47619048	1.58E-102	376.387	0	0	0	1	1	0	320	0
OTU_37	uncultured tepidimonas sp. ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiales;g__tepidimonas;s__tepidimonas spp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	5	5	36	1	7	0	309	0
OTU_38	fj009382.1 acinetobacter towneri str. f8  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter towneri;superkingdom__bacteria	98.9010989	1.80E-133	479.179	8	7	2	4	191	21	107	2
OTU_39	oenothera berteroana ;k__viridiplantae;p__streptophyta;c__streptophyta;o__myrtales;f__onagraceae;g__oenothera;s__oenothera berteroana;superkingdom__eukaryota;subclass  rosids;subfamily__onagroideae;tribe__onagreae	98.15498155	1.13E-129	466.555	1	4	0	2	280	0	15	1
OTU_40	aj012068.1 paracoccus sp. b8b2  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__rhodobacteraceae;g__paracoccus;s__paracoccus denitrificans;superkingdom__bacteria	98.53479853	2.20E-132	475.572	0	0	0	3	1	264	0	0
OTU_41	fj811877.1 leifsonia shinshuensis str. ma2_gfj  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__microbacteriaceae;g__cryocola;s__cryocola spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__micrococcineae	97.8021978	1.14E-129	466.555	1	1	10	4	3	0	250	17
OTU_42	fj596644.1 acinetobacter junii str. p1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter junii;superkingdom__bacteria	98.9010989	1.80E-133	479.179	11	7	1	3	140	0	72	9
OTU_43	acidobacteria bacterium a22_hd_4h ;k__bacteria;p__acidobacteria;c__acidobacteria;o__acidobacteria;f__acidobacteria;g__aridibacter;s__acidobacteria bacterium;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group	96.7032967	2.51E-125	452.129	0	0	1	2	0	0	238	0
OTU_44	uncultured flavisolibacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__flavisolibacter;s__flavisolibacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	99.26739927	4.24E-135	484.589	0	0	0	1	38	0	201	0
OTU_45	ef674852.1 halomonas xinjiangensis str. yim 91125  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__halomonadaceae;g__halomonas;s__halomonas xinjiangensis;superkingdom__bacteria	98.9010989	1.80E-133	479.179	3	4	59	3	71	34	61	0
OTU_46	ay860237.1 cupriavidus respiraculi str. au3775  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__cupriavidus;s__cupriavidus respiraculi;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	1	0	37	191	0
OTU_47	nubsella zeaxanthinifaciens ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__sphingobacteriaceae;g__nubsella;s__nubsella zeaxanthinifaciens;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	0	0	1	1	1	35	185	0
OTU_48	uncultured reyranella sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillales;g__reyranella;s__reyranella spp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	1	1	7	210	0
OTU_49	ay281086.1 streptococcus sanguinis str. atcc 49296  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sanguinis;superkingdom__bacteria	98.89705882	6.27E-133	477.376	47	1	36	2	68	69	32	0
OTU_50	uncultured haliscomenobacter sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__saprospiraceae;g__haliscomenobacter;s__haliscomenobacter spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	1	0	0	0	1	2	190	0
OTU_51	daeguia caeni ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__brucellaceae;g__daeguia;s__daeguia caeni;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	1	23	1	0	1	147	0
OTU_52	ay167828.1 novosphingobium subarcticum str. safr_035  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__novosphingobium;s__novosphingobium subarcticum;superkingdom__bacteria	98.53479853	2.20E-132	475.572	0	0	0	1	1	25	160	0
OTU_53	uncultured bellilinea sp. ;k__bacteria;p__chloroflexi;c__anaerolineae;o__anaerolineales;f__anaerolineaceae;g__bellilinea;s__bellilinea spp.;superkingdom__bacteria	98.17518248	3.26E-130	468.359	0	0	1	1	2	1	174	0
OTU_54	atopostipes sp. 17.2 aw ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__atopostipes;s__atopostipes sp.;superkingdom__bacteria	97.06959707	5.90E-127	457.539	3	1	20	3	46	56	38	0
OTU_55	lysobacter sp. 9nm_14 ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__lysobacter;s__lysobacter sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	1	0	0	0	1	146	0	0
OTU_56	fj167432.1 microbiology granular sludge under autotrophic mixotrophic and heterotrophic denitrification conditions denitrifying bioreactor clone r1a_4  ;k__archaea;p__euryarchaeota;c__methanobacteria;o__methanobacteriales;f__methanobacteriaceae;g__methanobacterium;s__methanobacterium beijingense;superkingdom__archaea	98.90510949	5.19E-134	480.982	0	0	1	0	0	0	136	0
OTU_57	aquimonas sp. enrichment culture clone 03suj1 ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__aquimonas;s__aquimonas sp.;superkingdom__bacteria	93.40659341	2.20E-113	412.454	0	0	0	1	0	0	136	0
OTU_58	lactobacillus pentosus ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__lactobacillus pentosus;superkingdom__bacteria	98.9010989	5.17E-134	480.982	0	0	124	1	1	0	17	1
OTU_59	uncultured alkalibacter sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__eubacteriaceae;g__alkalibacter;s__alkalibacter spp.;superkingdom__bacteria	87.54578755	1.14E-91	340.32	0	0	0	1	0	3	141	0
OTU_60	lysobacter sp. cj29 ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__lysobacter;s__lysobacter sp.;superkingdom__bacteria	97.8021978	1.14E-129	466.555	0	0	1	3	2	148	0	0
OTU_61	uncultured clostridium sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;s__clostridium spp.;superkingdom__bacteria	90.10989011	6.74E-101	370.977	0	0	1	0	0	0	128	0
OTU_62	uncultured thermomonas sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__thermomonas;s__thermomonas spp.;superkingdom__bacteria	98.53479853	2.20E-132	475.572	0	0	0	1	0	1	125	0
OTU_63	uncultured clostridium sp. ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__clostridiaceae;g__clostridium;s__clostridium spp.;superkingdom__bacteria	88.68613139	7.72E-94	347.533	0	0	0	0	0	1	118	1
OTU_64	aj311980.1 pseudomonas thermotolerans str. cm3  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas thermotolerans;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	13	2	2	0	105	0
OTU_65	uncultured hyphomicrobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__hyphomicrobiaceae;g__hyphomicrobium;s__hyphomicrobium spp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	1	2	0	0	108	1
OTU_66	ay602219.2 rhodococcus yunnanensis str. yim 70056  ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__nocardiaceae;g__rhodococcus;s__rhodococcus yunnanensis;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	98.9010989	1.80E-133	479.179	4	0	0	2	1	15	87	3
OTU_67	uncultured cytophaga sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__cytophaga;s__cytophaga spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	0	0	1	0	1	0	106	0
OTU_68	ab294165.1 alkalibacterium thalassios str. t117_1_2  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__carnobacteriaceae;g__alkalibacterium;s__alkalibacterium thalassios;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	2	0	0	98	0
OTU_69	mycoplana sp. kt14 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__brucellaceae;g__mycoplana;s__mycoplana sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	2	0	0	20	90	0
OTU_70	agrobacterium sp. b1 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__rhizobiaceae;g__agrobacterium;s__agrobacterium sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	0	0	85	0	0
OTU_71	modestobacter sp. 3368o2 ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__geodermatophilaceae;g__modestobacter;s__modestobacter sp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__frankineae	98.9010989	1.80E-133	479.179	0	1	0	7	0	1	3	91
OTU_72	uncultured dietzia sp. ;k__bacteria;p__actinobacteria;c__actinobacteria;o__actinomycetales;f__dietziaceae;g__dietzia;s__dietzia spp.;superkingdom__bacteria;subclass  actinobacteridae;suborder__corynebacterineae	98.9010989	1.80E-133	479.179	6	0	69	1	21	0	2	2
OTU_73	uncultured pseudomonas sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas spp.;superkingdom__bacteria	95.6043956	1.58E-121	439.505	0	0	0	2	0	1	98	0
OTU_74	erythrobacter sp. smb2 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__erythrobacteraceae;g__erythrobacter;s__erythrobacter sp.;superkingdom__bacteria	97.8021978	1.14E-129	466.555	0	0	1	4	0	2	86	0
OTU_75	nc_010376.1 finegoldia magna str. atcc 29328  ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__peptoniphilaceae;g__finegoldia;s__finegoldia magna;superkingdom__bacteria	98.89705882	6.27E-133	477.376	1	0	1	2	1	10	77	0
OTU_76	uncultured candidatus competibacter sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__gammaproteobacteria;f__competibacteraceae;g__candidatus competibacter;s__uncultured candidatus competibacter sp.;superkingdom__bacteria	95.97069597	1.30E-122	443.112	0	1	0	0	1	0	89	0
OTU_77	cp000463.1 rhodopseudomonas palustris str. bisa53  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__rhodopseudomonas;s__rhodopseudomonas palustris;superkingdom__bacteria	98.53479853	2.20E-132	475.572	0	0	0	0	0	0	89	0
OTU_78	altererythrobacter sp. 26dy36 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__erythrobacteraceae;g__altererythrobacter;s__altererythrobacter sp.;superkingdom__bacteria	96.7032967	2.51E-125	452.129	1	0	0	0	0	0	90	0
OTU_79	skermanella sp. a103_02 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__rhodospirillaceae;g__skermanella;s__skermanella sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	4	0	4	2	79
OTU_80	uncultured lewinella sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__saprospiraceae;g__lewinella;s__lewinella spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	91.60583942	2.51E-106	389.011	0	1	0	1	0	1	86	0
OTU_81	sphingobium sp. a1b_3 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingobium;s__sphingobium sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	1	0	84	1	1
OTU_82	uncultured chloroflexus sp. ;k__bacteria;p__chloroflexi;c__chloroflexia;o__chloroflexales;f__chloroflexaceae;g__chloroflexus;s__chloroflexus spp.;superkingdom__bacteria;suborder__chloroflexineae	87.95620438	3.98E-91	338.516	0	0	1	0	0	1	85	0
OTU_83	uncultured cytophaga sp. ;k__bacteria;p__bacteroidetes;c__cytophagia;o__cytophagales;f__cytophagaceae;g__cytophaga;s__cytophaga spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	95.97069597	1.30E-122	443.112	0	0	0	1	0	0	81	0
OTU_84	ef519705.1 exiguobacterium panipatensis str. sm1  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillales;g__exiguobacterium;s__exiguobacterium panipatensis;superkingdom__bacteria	98.9010989	1.80E-133	479.179	1	0	1	1	0	1	76	0
OTU_85	uncultured terrimonas sp. ;k__bacteria;p__bacteroidetes;c__sphingobacteriia;o__sphingobacteriales;f__chitinophagaceae;g__terrimonas;s__terrimonas spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	98.9010989	1.80E-133	479.179	0	0	0	0	1	0	79	0
OTU_86	bosea sp. xb158 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bosea;s__bosea sp.;superkingdom__bacteria	98.9010989	1.80E-133	479.179	0	0	0	0	36	1	43	1
OTU_87	candidatus soleaferrea massiliensis ap7 ;k__bacteria;p__firmicutes;c__clostridia;o__clostridiales;f__ruminococcaceae;g__candidatus soleaferrea;s__candidatus soleaferrea massiliensis;superkingdom__bacteria	95.95588235	4.52E-122	441.308	0	0	0	1	0	0	76	0
OTU_88	uncultured crocinitomix sp. ;k__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__cryomorphaceae;g__crocinitomix;s__crocinitomix spp.;superkingdom__bacteria;superphylum__bacteroidetes/chlorobi group	94.87179487	8.20E-119	430.488	0	0	0	3	0	0	73	0
OTU_89	labilithrix luteola ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__myxococcales;f__labilitrichaceae;g__labilithrix;s__labilithrix luteola;superkingdom__bacteria;subphylum__delta/epsilon subdivisions;suborder__sorangiineae	89.74358974	8.21E-100	367.37	0	0	0	0	0	0	75	0
OTU_90	novosphingobium sp. th20 ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__novosphingobium;s__novosphingobium sp.;superkingdom__bacteria	94.50549451	3.49E-117	425.078	0	1	0	0	0	0	75	0
OTU_91	uncultured bradyrhizobium sp. ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__bradyrhizobiaceae;g__bradyrhizobium;s__bradyrhizobium spp.;superkingdom__bacteria	99.26739927	4.24E-135	484.589	1	0	0	1	0	1	73	0
OTU_92	ab308268.1 halothiobacillus neapolitanus str. c153  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__chromatiales;f__halothiobacillaceae;g__halothiobacillus;s__halothiobacillus neapolitanus;superkingdom__bacteria	76.72727273	1.07E-47	194.247	0	0	1	1	0	0	72	0
