identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
sphingobium sp.	0	0	0	1	0	84	1	1
acinetobacter towneri	8	7	2	4	191	21	107	2
thermomonas fusca	0	7	0	0	0	0	0	0
acidobacterium spp.	0	0	0	0	0	0	0	4
burkholderia	0	4	0	0	0	0	0	0
frigoribacterium sp.	1	0	0	2	2	6	5	24
alkanindiges illinoisensis	0	0	0	6	0	443	13	1
mycoplana sp.	0	0	2	0	0	20	90	0
anaerobiospirillum	0	0	0	0	0	8	0	0
lentzea spp.	0	0	0	1	15	0	0	0
actinomadura sp.	0	0	0	0	0	0	16	0
acidovorax delafieldii	7	0	49	4	2	205	5	1
enterobacteriaceae	22	20	0	2	86	6	27	1
methylophilus spp.	1	0	0	0	21	0	0	0
rhodopseudomonas spp.	0	0	0	0	11	0	0	0
rhodoplanes	0	0	0	0	0	0	17	0
sphingomonas	0	1	0	0	16	22	0	1
clostridiaceae	0	0	1	0	0	0	128	0
stenotrophomonas maltophilia	2	2	3	4	183	8	292	3
siphonobacter sp.	5	0	0	0	0	0	0	0
acidobacteria	0	0	0	0	0	0	28	0
thiorhodospira	0	0	0	0	0	0	11	0
corynebacterium glucuronolyticum	0	0	0	0	0	4	0	0
uncultured candidatus microthrix sp.	0	6	0	0	0	0	0	0
thermomonas spp.	0	0	0	1	0	1	125	0
rufibacter sp.	0	0	41	0	0	0	0	0
pythiaceae	8	9	0	2	2	0	20	0
rhizobium sp.	0	0	2	1	1	24	153	1
blautia ruminococcus gnavus	3	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0	17	0	0
daeguia caeni	0	1	23	1	0	1	147	0
prevotella sp.	0	0	0	0	1	0	45	0
ruminococcaceae	0	0	0	1	0	0	6	0
porphyromonas spp.	0	0	0	0	1	12	0	0
pedosphaera spp.	0	0	0	0	0	0	0	16
sediminibacterium salmoneum	0	0	0	3	0	93	278	2
rhizobium mongolense	0	0	0	0	1	9	0	0
chelatococcus sp.	0	0	3	0	0	0	0	0
streptococcus salivarius	10	28	79	5	40	38	311	13
staphylococcus epidermidis	112	20	22	20	288	82	470	8
poales	0	0	0	0	0	0	0	9
exiguobacterium panipatensis	1	0	1	1	0	1	76	0
anaerococcus sp.	0	0	3	0	0	0	0	0
methylobacterium	0	0	0	1	1	0	2	27
enhydrobacter aerosaccus	2	18	0	0	0	0	1	5
methanobacterium subterraneum	0	0	0	0	0	0	57	0
pelistega europaea	1	0	0	0	0	0	0	2
lactobacillus agilis	0	0	1	2	0	2	0	15
chloroflexales	0	0	1	0	0	1	85	0
dokdonella sp.	0	0	0	0	0	6	0	0
hymenobacter xinjiangensis	0	0	0	0	0	0	0	6
xanthobacteraceae	0	0	0	0	0	0	9	0
flavisolibacter ginsengisoli	0	0	0	0	5	0	0	0
erythrobacter sp.	0	0	1	4	0	2	86	0
enterococcus faecium	3	1	42	137	0	0	0	0
nocardioides spp.	0	0	0	0	0	6	0	0
bradyrhizobium sp.	0	1	0	0	1	0	95	0
rubellimicrobium	0	1	0	0	0	14	0	0
sphingomonas spp.	0	0	0	0	0	25	0	0
actinomyces	0	3	2	6	2	1	324	1
aquabacterium spp.	3	4	16	9	30	1079	123	7
aridibacter	0	0	1	2	0	0	238	0
bdellovibrio	0	0	0	0	0	4	0	0
bellilinea spp.	0	0	1	1	2	1	174	0
novosphingobium subarcticum	0	0	0	1	1	25	160	0
levilinea saccharolytica	0	0	0	0	0	0	43	0
dolosigranulum pigrum	0	1	0	0	0	0	0	7
reyranella spp.	0	0	0	1	1	7	210	0
haemophilus influenzae	9	0	0	0	0	0	0	0
jeotgalicoccus halotolerans	0	4	0	0	0	0	0	0
methylobacterium sp.	0	0	0	0	0	5	0	0
moorella spp.	0	0	0	2	0	0	48	0
actinomyces johnsonii	2	0	1	0	4	2	31	0
lactobacillus gallinarum	0	2	10	6	27	0	0	13
nocardioides caeni	2	0	0	0	1	0	0	0
thermoactinomycetaceae	0	8	0	0	0	0	0	0
burkholderiaceae	1	1	0	0	15	0	5	3
rodentia	0	0	0	0	0	4	0	0
pseudomonas putida	4	5	0	6	112	61	257	18
salinisphaera spp.	0	1	0	0	1	39	0	6
bifidobacterium thermophilum	0	4	23	7	24	11	755	2
sphingopyxis sp.	0	0	0	1	0	0	62	0
corynebacterium kroppenstedtii	0	3	1	0	18	0	0	0
terrimonas spp.	0	0	0	0	1	0	79	0
cryomorphaceae	6	0	0	3	0	0	73	0
xanthomonas	0	0	16	0	0	0	0	0
flavisolibacter spp.	0	0	0	1	38	0	201	0
eubacterium spp.	0	0	0	0	12	0	0	0
photobacterium phosphoreum	0	0	0	0	0	17	0	0
pinus taeda	0	0	0	0	0	0	0	12
alkalibacterium iburiense	0	0	0	0	0	14	0	0
blastococcus aggregatus	0	0	0	0	0	3	0	3
desulfuromonadales	0	0	0	1	0	1	62	0
cytophaga spp.	0	0	1	0	1	0	106	0
enterococcaceae	3	0	103	414	0	1	1	0
williamsia muralis	0	0	0	0	0	14	0	0
gammaproteobacteria	0	0	0	1	0	0	31	0
chromadorea	1	0	0	0	0	0	4	0
pseudomonadaceae	0	0	0	0	0	64	0	0
pantoea	91	23	1	11	549	27	161	12
cryocola spp.	1	1	10	4	3	0	250	17
isoptericola spp.	0	0	5	0	1	0	0	1
debaryomycetaceae	0	0	0	0	0	0	6	0
prosthecobacter debontii	0	0	0	0	0	4	0	0
skermanella sp.	0	0	0	4	0	4	2	79
variovorax paradoxus	7	5	10	15	17	90	34	1794
vairimorpha cheracis	120	149	2	4	0	1	0	2
pseudoxanthomonas taiwanensis	2	1	16	2	5	3	502	2
dokdonella spp.	1	0	1	3	2	2	443	1
hyphomicrobium spp.	0	0	1	2	0	0	108	1
paracoccus denitrificans	0	0	0	3	1	264	0	0
enterococcus faecalis	519	115	23045	72482	260	151	329	129
mucor	13	0	0	1	42	0	0	0
candidatus soleaferrea	0	0	0	1	0	0	76	0
verrucomicrobium	0	0	7	0	0	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	5	0	0
burkholderia ubonensis	2	4	0	0	0	0	0	1
adhaeribacter sp.	0	0	0	1	0	23	0	0
devosia submarina	0	0	0	0	0	3	1	3
aminobacter niigataensis	11	0	0	0	0	18	40	0
xanthomonadaceae	0	0	0	1	0	0	136	0
fluviicola spp.	0	0	10	0	0	0	0	0
kaistobacter spp.	0	3	0	1	51	0	0	0
modestobacter sp.	0	1	0	7	0	1	3	91
altererythrobacter spp.	0	0	0	0	6	11	0	0
enterococcus	1	0	218	736	1	2	98	4
luteimonas sp.	0	0	11	0	0	1	0	0
cytophagaceae	0	0	0	0	0	4	0	0
corynebacterium lipophiloflavum	0	0	0	1	17	0	0	0
hyphomicrobiaceae	0	0	0	0	0	0	73	0
halospirulina sp.	6	19	5	25	1878	163	13	203
ignavibacteriaceae	0	0	0	1	1	1	56	0
dietzia spp.	6	0	69	1	21	0	2	2
clostridium sp.	0	0	0	0	0	0	22	0
thermicanus aegyptius	4	2	196	38	7	23	3099	11
rubrobacter spp.	0	0	0	0	0	0	19	0
vairimorpha	4014	4692	199	132	22	24	20	13
legionellaceae	0	0	0	0	0	5	0	0
cloacibacterium spp.	0	6	136	16	1	2	481	16
rhodopseudomonas palustris	0	0	0	0	0	0	89	0
elizabethkingia meningoseptica	0	0	0	0	0	0	5	0
anaerolineaceae	0	0	2	9	0	0	496	0
bacillaceae	0	0	0	0	0	11	0	0
zygaenidae	0	0	2	0	1	0	9	0
comamonas jiangduensis	0	1	5	0	1	1	67	1
mesorhizobium spp.	0	0	0	0	12	0	0	0
thermoanaerobacterium saccharolyticum	0	0	1	0	0	0	65	0
pantoea spp.	6260	1851	170	790	35144	2057	12752	856
sphingobacterium sp.	0	0	12	2	1	2	364	0
aquabacterium	0	0	0	0	0	3	0	0
synechococcus	1	0	0	0	3	0	0	0
halotalea alkalilenta	13	7	0	0	0	0	0	0
methylobacterium thiocyanatum	0	1	0	0	1	18	0	0
oxalobacteraceae	0	1	0	1	0	0	0	80
cupriavidus respiraculi	0	0	0	1	0	37	191	0
bacteroides spp.	0	0	1	0	0	0	58	0
rhodococcus yunnanensis	4	0	0	2	1	15	87	3
candidatus competibacter	0	1	0	0	1	0	89	0
sphingomonas caulobacter leidyia	0	0	0	0	3	9	0	2
lactococcus lactis	6	3	0	3	0	11	23	0
malassezia restricta	0	0	0	0	0	0	5	0
serratia marcescens	29	48	8	5	314	67	13	5
plautia stali	0	0	0	0	1	0	2	0
polynucleobacter	0	1	0	0	41	0	0	0
bacillus	0	0	0	0	0	0	18	0
adhaeribacter spp.	0	0	0	1	0	0	0	2
sandaracinobacter sibiricus	0	0	0	1	30	0	0	0
actinomyces neuii	0	0	0	0	0	0	18	0
verrucomicrobiaceae	0	0	0	0	0	8	0	0
ralstonia	0	0	0	1	0	0	0	17
ethanoligenens spp.	0	4	0	0	0	0	0	2
thermus thiopara	0	0	0	0	0	0	4	0
roseburia spp.	4	0	0	0	0	0	0	1
bacillus sp.	2	1	7	18	3	6	2024	3
longilinea	0	0	0	0	0	0	11	0
ilumatobacter spp.	0	0	0	0	0	0	24	0
alphaproteobacteria	0	0	0	0	0	0	76	0
rhodopila	0	0	0	0	0	0	1	2
dechloromonas spp.	0	0	7	0	0	0	0	0
nubsella zeaxanthinifaciens	0	0	1	1	1	35	185	0
cyanobacteria	0	0	0	1	0	0	85	0
enterococcus cecorum	45	19	1838	7155	75	19	4415	18
oxalobacter sp.	23	6	15	50	76	35	54	2938
conexibacter spp.	0	0	0	0	0	2	1	0
gemmobacter rhodobacter changlaii	0	0	0	1	0	22	0	0
acinetobacter junii	11	7	1	3	140	0	72	9
bacteroidetes	0	0	0	0	0	6	0	0
thermicanus	0	0	2	1	0	1	78	0
methanobacterium beijingense	0	0	1	0	0	0	136	0
pelagophyceae	0	0	0	0	0	14	0	0
geobacteraceae	0	0	3	0	0	0	59	0
corynebacterium tuberculostearicum	16	6	15	3	3	45	406	2
bradyrhizobium spp.	1	0	0	1	0	1	73	0
prevotella melaninogenica	0	0	0	0	0	4	0	0
anoxybacillus tunensis	2	2	82	45	54	4	1362	17
bacilli	0	0	0	0	0	0	69	0
homo sapiens	0	0	0	6	0	0	1	0
cardiobacterium hominis	0	0	0	0	18	0	0	0
spiroplasmataceae	0	0	0	0	3	0	0	1
bosea sp.	0	0	0	0	36	1	43	1
sphingomonadaceae	0	1	0	0	0	0	75	0
haliscomenobacter spp.	1	0	0	0	1	2	190	0
erysipelothrix	2	2	0	0	0	0	0	0
dothideomycetes	0	0	0	0	0	0	48	0
iamia	0	0	0	0	0	1	41	1
atopostipes spp.	2	8	48	10	212	30	53	2
rhabdochlamydiaceae	0	0	0	1	1	0	320	0
proteiniphilum acetatigenes	4	0	6	11	0	3	810	0
finegoldia magna	1	0	1	2	1	10	77	0
coprothermobacter proteolyticus	0	0	3	0	0	0	0	0
sphingobacterium faecium	0	0	0	0	0	0	3	0
empedobacter	0	1	56	10	8	12	1354	0
spumella sp.	0	0	0	0	0	3	0	0
cyanothece	0	0	1	0	16	0	0	0
flavobacterium spp.	0	0	0	0	0	4	0	0
gemmatimonas spp.	0	0	0	0	0	0	0	3
kocuria rhizophila	3	0	0	0	0	17	0	0
corynebacterium appendicis	1	0	0	0	0	13	0	0
gemella sanguinis	8	0	1	0	0	0	0	0
neisseria sicca	0	2	8	0	0	0	0	0
hymenobacter spp.	0	0	0	1	0	0	1	31
arthrobacter spp.	8	9	7	55	8	62	84	907
clostridium spp.	0	0	0	0	0	1	46	0
methylobacterium adhaesivum	14	8	6	52	15	31	28	2023
cytophaga	0	0	0	1	0	0	81	0
