species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
thermoanaerobacterium saccharolyticum	0	0	1	0	0	0	65	0
enterococcus spp.	3	0	68	290	0	1	0	0
alloscardovia omnicolens	0	0	0	0	0	9	0	0
eubacterium spp.	0	0	0	0	12	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	5	0	0
leptolyngbya mycoidea	0	0	0	1	0	0	62	0
serratia marcescens	29	48	8	5	314	67	13	5
altererythrobacter spp.	0	0	0	0	6	11	0	0
comamonas jiangduensis	0	1	5	0	1	1	67	1
finegoldia magna	1	0	1	2	1	10	77	0
rubellimicrobium spp.	0	1	0	0	0	14	0	0
candidatus rhabdochlamydia porcellionis	0	0	0	1	1	0	320	0
pelobacter spp.	0	0	0	0	0	0	3	0
gemmatimonas spp.	1	0	1	1	30	0	0	3
bradyrhizobium spp.	1	0	0	1	0	1	73	0
methylobacterium thiocyanatum	0	1	0	0	1	18	0	0
crocinitomix spp.	0	0	0	3	0	0	89	0
rhizobium mongolense	0	0	0	0	1	9	0	0
enterococcus faecalis	519	115	23178	72913	260	153	337	129
sandaracinobacter sibiricus	0	0	0	1	30	0	0	0
sphingobacterium faecium	0	0	0	0	0	0	3	0
natronobacillus azotifigens	0	0	0	0	0	11	0	0
marchantia polymorpha	0	0	0	0	6	0	0	0
bosea sp.	0	0	0	0	36	1	43	1
thermomonas spp.	0	0	0	1	0	1	125	0
aquabacterium spp.	3	4	16	9	30	1082	123	7
tistrella spp.	0	0	0	0	0	0	19	0
pseudomonas putida	4	5	0	6	112	61	257	18
novosphingobium sp.	0	1	0	0	0	0	75	0
enterococcus hirae	0	0	2	7	0	0	0	0
prosthecobacter debontii	0	0	0	0	0	4	0	0
ankylochrysis lutea	0	0	0	0	0	14	0	0
aridibacter acidobacteria bacterium	0	0	1	2	0	0	238	0
lactococcus lactis	6	3	0	3	0	11	23	0
clostridium sp.	0	0	0	0	0	0	22	0
geobacter spp.	0	0	0	0	0	0	73	0
cryocola spp.	1	1	10	4	3	0	250	17
nosema furnacalis	1	2	0	0	0	0	0	0
enterococcus lactis	0	0	23	112	0	0	0	1
dolosigranulum pigrum	0	1	0	0	0	0	0	7
peptoniphilus asaccharolyticus	6	0	0	0	55	4	0	0
rufibacter sp.	0	0	41	0	0	0	0	0
spiroplasma spp.	0	0	0	0	3	0	0	1
thermomonas fusca	0	7	0	0	0	0	0	0
roseburia spp.	4	0	0	0	0	0	0	1
nubsella zeaxanthinifaciens	0	0	1	1	1	35	185	0
acidovorax avenae	1	1	5	2	3	141	229	2
coniothyrium palmarum	0	0	0	0	0	0	48	0
roseovarius sp.	0	0	0	0	0	17	0	0
pseudoxanthomonas taiwanensis	2	1	16	2	5	3	502	2
ignavibacterium spp.	0	0	0	1	1	1	56	0
rhodopseudomonas spp.	0	0	0	0	11	0	0	0
methylobacterium adhaesivum	14	8	6	53	16	31	30	2050
salmonella enterica	7367	3101	32	123	487	154	70	46
chelatococcus sp.	0	0	3	0	0	0	0	0
frigoribacterium sp.	1	0	0	2	2	6	5	24
alkalibacterium thalassios	0	0	0	2	0	0	98	0
micavibrio sp.	0	0	0	0	0	0	34	0
laceyella sp.	0	8	0	0	0	0	0	0
tepidimonas spp.	5	5	37	2	7	9	399	0
actinomyces sp.	0	3	2	6	2	1	324	1
nocardioides caeni	2	0	0	0	1	0	0	0
corynebacterium glucuronolyticum	0	0	0	0	0	4	0	0
candidatus alysiosphaera europeae	1	0	0	0	0	0	0	18
variovorax paradoxus	7	5	10	15	17	90	34	1794
pinus taeda	0	0	0	0	0	0	0	12
prevotella sp.	0	0	0	0	1	0	45	0
rattus norvegicus	0	0	0	0	0	4	0	0
lactobacillus agilis	0	0	1	2	0	2	0	15
porphyromonas spp.	0	0	0	0	1	12	0	0
fluviicola spp.	6	0	10	0	0	0	0	0
xanthobacter autotrophicus	0	0	0	0	0	0	9	0
vairimorpha cheracis	4134	4841	201	136	22	25	20	15
sediminibacterium salmoneum	0	0	0	3	0	93	278	2
flavisolibacter ginsengisoli	0	0	0	0	5	0	0	0
helcobacillus massiliensis	0	3	0	0	0	0	0	0
roseomonas sp.	1	0	2	2	0	0	1	57
rhodopila spp.	0	0	0	0	0	0	1	2
actinomyces cardiffensis	1	5	0	1	0	0	47	0
levilinea saccharolytica	0	0	0	0	0	0	43	0
lactobacillus gallinarum	0	2	10	6	27	0	0	13
sporocytophaga spp.	0	0	0	1	12	0	0	0
iamia spp.	0	0	0	0	0	1	41	1
kocuria rhizophila	3	0	0	0	0	17	0	0
roseomonas spp.	0	0	0	1	0	0	0	3
rhizobium sp.	0	0	2	1	1	24	153	1
williamsia muralis	0	0	0	0	0	14	0	0
cupriavidus respiraculi	0	0	0	1	0	37	191	0
geoalkalibacter spp.	0	0	3	0	0	0	0	0
staphylococcus epidermidis	112	20	22	20	288	82	470	8
pseudomonas thermotolerans	0	0	13	2	2	0	105	0
jeotgalicoccus halotolerans	0	4	0	0	0	0	0	0
anaerococcus sp.	0	0	3	0	0	0	0	0
methylothermus spp.	0	0	0	0	0	0	8	0
alkalibacter spp.	0	0	0	1	0	3	141	0
prevotella spp.	0	3	0	0	0	0	0	0
micavibrio aeruginosavorus	0	0	0	0	0	0	42	0
polynucleobacter spp.	0	1	0	0	41	0	0	0
thermicanus aegyptius	4	2	198	39	7	24	3177	11
halotalea alkalilenta	13	7	0	0	0	0	0	0
rhodococcus yunnanensis	4	0	0	2	1	15	87	3
leucobacter luti	0	0	0	0	0	0	3	0
synechococcus spp.	1	0	0	0	3	0	0	0
photobacterium phosphoreum	0	0	0	0	0	17	0	0
bradyrhizobium sp.	0	1	0	0	1	0	95	0
solobacterium moorei	0	2	0	1	0	0	0	0
tepidiphilus petrobacter sp.	0	0	3	4	1	3	393	2
thiomicrospira spp.	0	0	0	1	0	0	23	0
sphingomonas faeni	0	0	0	0	0	0	0	4
adhaeribacter spp.	0	0	0	1	0	0	0	2
veillonella sp.	0	0	0	2	0	2	56	0
burkholderia ubonensis	2	4	0	0	0	0	0	1
actinomadura sp.	0	0	0	0	0	0	16	0
actinomyces neuii	0	0	0	0	0	0	18	0
virgibacillus sp.	0	0	0	0	0	0	69	0
bacillus sp.	2	1	7	18	3	6	2042	3
daeguia caeni	0	1	23	1	0	1	147	0
bacteroides dorei	1	0	1	1	0	1	1	0
cyanobacterium spp.	0	0	0	0	0	0	5	0
hyphomicrobium facile	3	0	0	0	0	13	0	0
exiguobacterium panipatensis	1	0	1	1	0	1	76	0
sphingobium sp.	0	0	0	1	0	84	1	1
pseudomonas tuomuerense	0	0	0	0	1	10	0	0
dietzia spp.	6	0	69	1	21	0	2	2
dokdonella sp.	0	0	0	0	0	6	0	0
sphingomonas sp.	1	0	6	7	3	756	19	5
rhodopseudomonas palustris	0	0	0	0	0	0	89	0
lewinella spp.	0	1	0	1	0	1	86	0
stenotrophomonas maltophilia	2	2	3	4	183	8	292	3
mycoplana sp.	0	0	2	0	0	20	90	0
lactobacillus pentosus	0	0	124	1	1	0	17	1
methanobacterium beijingense	0	0	1	0	0	0	136	0
dechloromonas spp.	0	0	7	0	0	0	0	0
mesorhizobium spp.	0	0	0	0	12	0	0	0
uncultured candidatus microthrix sp.	0	6	0	0	0	0	0	0
isoptericola spp.	0	0	5	0	1	0	0	1
enterococcus villorum	8	3	554	5811	13	11	26	13
paracoccus denitrificans	0	0	0	3	1	264	0	0
methylophilus spp.	1	0	0	0	21	0	0	0
neisseria sicca	0	2	8	0	0	0	0	0
conexibacter spp.	0	0	0	0	14	2	1	0
aphanothece stagnina	0	0	0	0	0	0	23	0
sphingomonas caulobacter leidyia	0	0	0	0	3	9	0	2
dokdonella spp.	1	0	1	3	2	2	450	2
deinococcus spp.	0	0	0	0	0	0	0	4
clostridium spp.	0	2	1	1	0	2	292	1
flavisolibacter spp.	0	0	0	1	38	6	201	0
methylobacterium sp.	0	0	0	0	0	5	0	0
burkholderia glathei	1	1	0	0	15	0	5	3
blautia producta	0	0	0	1	0	3	0	0
methanobacterium subterraneum	0	0	0	0	0	0	57	0
corynebacterium lipophiloflavum	0	0	0	1	17	0	0	0
pedomicrobium spp.	0	0	0	0	0	0	73	0
aquimonas sp.	0	0	0	1	0	0	136	0
olsenella sp.	0	0	0	0	0	0	8	0
hymenobacter spp.	0	0	0	1	0	0	1	31
adhaeribacter sp.	0	0	0	1	0	23	0	0
fusobacterium spp.	0	4	0	0	0	0	0	0
paludibacter spp.	7	0	0	0	0	6	0	0
haemophilus influenzae	9	0	0	0	0	0	0	0
alkalibacterium iburiense	0	0	0	0	0	14	0	0
enhydrobacter aerosaccus	2	18	0	0	0	0	1	5
lentzea spp.	0	0	0	1	15	0	0	0
cloacibacterium spp.	0	6	136	16	1	2	481	16
blautia ruminococcus gnavus	3	0	0	0	0	0	0	0
longilinea spp.	0	0	2	9	0	0	507	0
sphingopyxis sp.	0	0	0	1	0	0	62	0
burkholderia spp.	0	4	0	0	0	0	56	0
rhodoplanes spp.	0	0	0	0	0	0	17	0
enterococcus mundtii	1	0	28	72	0	0	1	1
legionella spp.	0	0	0	0	0	5	0	0
eterusia aedea	0	0	2	0	1	0	9	0
candidatus soleaferrea massiliensis	0	0	0	1	0	0	76	0
strongyloides stercoralis	1	0	0	0	0	0	4	0
spumella sp.	0	0	0	0	0	3	0	0
xanthomonas sp.	0	0	24	0	0	0	0	0
haliscomenobacter spp.	1	0	1	0	1	2	262	0
ethanoligenens spp.	0	4	0	0	0	0	0	2
alkanindiges illinoisensis	0	0	0	6	0	443	13	1
pediococcus pentosaceus	0	0	0	1	0	0	0	4
lysobacter sp.	1	0	1	3	3	294	0	0
zea mays	0	0	0	0	0	0	0	9
blastococcus aggregatus	0	0	0	0	0	3	0	3
enterococcus rivorum	0	0	9	47	0	0	0	0
devosia submarina	0	0	0	0	0	3	1	3
ruminococcus spp.	0	0	0	1	0	0	6	0
alternaria sp.	0	6	0	0	0	0	0	0
salinisphaera spp.	0	1	0	0	1	39	0	6
corynebacterium diphtheriae	3	12	68	28	5	3	1108	18
arthrobacter spp.	8	9	7	55	8	62	84	907
gemmobacter rhodobacter changlaii	0	0	0	1	0	22	0	0
gemella sanguinis	8	0	1	0	0	0	0	0
corynebacterium tuberculostearicum	16	6	15	3	3	45	406	2
levilinea spp.	0	0	0	0	0	0	44	0
microbacterium sediminicola	0	0	0	0	0	1	7	0
cyanothece spp.	0	0	1	0	16	0	0	0
siphonobacter sp.	5	0	0	0	0	0	0	0
haemophilus parainfluenzae	1	0	0	0	0	5	0	0
hymenobacter xinjiangensis	0	0	0	0	0	0	0	6
hyphomicrobium spp.	0	0	1	2	0	0	108	1
atopostipes sp.	3	1	20	3	46	56	38	0
enterococcus cecorum	45	19	1840	7160	75	19	4504	19
erythrobacter sp.	0	0	1	4	0	2	86	0
acinetobacter junii	11	7	1	3	140	0	72	9
anaerobiospirillum succiniciproducens	0	0	0	0	0	8	0	0
skermanella sp.	0	0	0	4	0	4	2	79
coprothermobacter proteolyticus	0	0	3	0	0	0	0	0
thermus thiopara	0	0	0	0	0	0	4	0
halothiobacillus neapolitanus	0	0	1	1	0	0	72	0
aminobacter niigataensis	11	0	0	0	0	18	40	0
modestobacter sp.	0	1	0	7	0	1	3	91
moorella spp.	0	0	0	2	0	0	48	0
klebsiella spp.	3	4	0	5	36	2	23	0
altererythrobacter sp.	1	0	0	0	0	0	90	0
amanita pulverulenta	0	0	2	0	0	0	1	0
knoellia sinensis	0	1	2	0	0	9	0	1
verrucomicrobium spp.	0	0	7	0	0	8	0	0
atopostipes spp.	2	8	48	10	212	30	53	2
bdellovibrio sp.	0	0	0	1	0	4	39	0
rothia aeria	8	0	0	0	41	4	0	1
anoxybacillus tunensis	2	2	82	45	54	4	1362	17
rubrobacter spp.	0	0	0	0	0	0	19	0
bacteroides spp.	0	0	1	0	0	0	58	0
massilia timonae	80	50	75	281	222	200	115	19109
desulfobacula spp.	0	0	0	0	0	17	0	0
agrobacterium sp.	0	0	0	0	0	85	0	0
xylella spp.	0	0	0	0	0	5	0	0
elizabethkingia meningoseptica	0	0	0	0	0	0	5	0
sphingomonas wittichii	0	0	0	0	0	3	0	0
enterococcus sp.	9	3	103	422	18	10	15	7
empedobacter sp.	0	1	56	10	8	12	1354	0
ilumatobacter spp.	0	0	0	0	0	0	24	0
luteimonas sp.	0	0	11	0	0	1	0	0
dehalococcoides spp.	0	0	0	1	0	0	16	0
ralstonia spp.	0	0	0	1	0	0	0	17
pseudomonas stutzeri	59	23	70	298	96	34965	121	119
prevotella melaninogenica	0	0	0	0	0	4	0	0
candida tropicalis	0	0	0	0	0	0	6	0
corynebacterium appendicis	1	0	0	0	0	13	0	0
ohtaekwangia spp.	0	0	48	0	0	0	0	0
malassezia restricta	0	0	0	0	0	0	5	0
oenothera berteroana	1	4	0	2	280	0	15	1
desulfuromonas svalbardensis	0	0	0	1	0	1	48	0
sphingobacterium sp.	0	0	12	2	1	2	364	0
pseudomonas oryzihabitans	0	0	0	2	0	0	54	0
halospirulina sp.	6	19	5	25	1878	163	13	203
reyranella spp.	0	0	0	1	1	7	210	0
pseudomonas spp.	0	0	0	2	0	1	98	0
proteiniphilum acetatigenes	4	0	6	11	0	3	810	0
pelistega europaea	1	0	0	0	0	0	0	2
streptococcus salivarius	10	28	79	5	40	38	311	13
acidovorax delafieldii	7	0	49	4	2	205	5	1
bellilinea spp.	0	0	1	2	2	1	197	0
sphingomonas spp.	0	1	0	0	16	47	0	1
kaistobacter spp.	0	3	0	1	51	0	0	0
geodermatophilus spp.	0	0	0	0	0	7	1	0
flavobacterium spp.	0	0	0	0	0	4	0	0
cytophaga spp.	0	0	1	1	1	4	187	0
