genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
chloroflexus	0	0	11	1	11	10	85	0
ilumatobacter	0	0	0	0	0	0	24	0
brachybacterium	0	0	0	1	0	10	45	4
pedomicrobium	0	0	0	0	0	0	73	0
leucobacter	0	0	0	0	0	0	3	0
virgibacillus	0	0	0	0	0	0	69	0
lactococcus	6	3	0	3	0	11	23	0
sphingomonas	1	1	6	7	22	815	19	12
rhodoplanes	0	0	0	0	0	0	17	0
lysobacter	1	0	1	3	3	294	0	0
variovorax	7	5	10	15	17	90	34	1794
bacteroides	1	0	2	1	0	1	59	0
nocardioides	2	0	0	0	1	6	0	0
bacillus	2	1	7	18	3	6	2042	3
sphingobium	0	0	0	1	0	84	1	1
rothia	8	0	0	0	41	4	0	1
aquabacterium	3	4	16	9	30	1082	123	7
blastococcus	0	0	0	0	0	3	0	3
acidobacterium	0	0	0	0	0	0	28	4
xanthomonas	0	0	24	0	0	0	0	0
cytophaga	0	0	1	1	1	4	187	0
elizabethkingia	0	0	0	0	0	0	5	0
rhizobium	0	0	2	1	2	33	153	1
lewinella	0	1	0	1	0	1	86	0
verrucomicrobium	0	0	7	0	0	8	0	0
kaistobacter	0	3	0	1	51	0	0	0
novosphingobium	0	1	0	1	1	25	235	0
hymenobacter	0	0	0	1	0	0	1	37
helcobacillus	0	3	0	0	0	0	0	0
alkanindiges	0	0	0	6	0	443	13	1
flavisolibacter	0	0	0	1	43	6	201	0
flavobacterium	0	0	0	0	0	4	0	0
olsenella	0	0	0	0	0	0	8	0
isoptericola	0	0	5	0	1	0	0	1
xanthobacter	0	0	0	0	0	0	9	0
paracoccus	0	0	0	3	1	264	0	0
methylothermus	0	0	0	0	0	0	8	0
salmonella	7367	3101	32	123	487	154	70	46
jeotgalicoccus	0	4	0	0	0	0	0	0
acinetobacter	19	14	3	7	331	21	179	11
moorella	0	0	0	2	0	0	48	0
rhodopila	0	0	0	0	0	0	1	2
iamia	0	0	0	0	0	1	41	1
knoellia	0	1	2	0	0	9	0	1
desulfobacula	0	0	0	0	0	17	0	0
alloscardovia	0	0	0	0	0	9	0	0
candidatus microthrix	0	6	0	0	0	0	0	0
erythrobacter	0	0	1	4	0	2	86	0
roseomonas	1	0	2	3	0	0	1	60
anoxybacillus	2	2	82	45	54	4	1362	17
bdellovibrio	0	0	0	1	0	4	39	0
ruminococcus	0	1	0	11	4	2	750	2
corynebacterium	20	21	84	32	43	65	1514	20
rhodocista	0	0	0	0	0	57	0	0
eubacterium	0	0	0	0	12	0	0	0
cardiobacterium	0	0	0	0	18	0	0	0
thiorhodospira	0	0	0	0	0	0	11	0
bellilinea	0	0	1	2	2	1	197	0
aquimonas	0	0	0	1	0	0	136	0
frigoribacterium	1	0	0	2	2	6	5	24
polynucleobacter	0	1	0	0	41	0	0	0
pedosphaera	0	0	0	0	0	0	0	16
acidovorax	8	1	54	6	5	346	234	3
sporocytophaga	0	0	0	1	12	0	0	0
siphonobacter	5	0	0	0	0	0	0	0
neisseria	0	2	8	0	0	0	0	0
dolosigranulum	0	1	0	0	0	0	0	7
lactobacillus	0	2	135	9	28	2	17	29
geodermatophilus	0	0	0	0	0	7	1	0
alkalibacterium	0	0	0	2	0	14	98	0
solobacterium	0	2	0	1	0	0	0	0
lentzea	0	0	0	1	15	0	0	0
coprothermobacter	0	0	3	0	0	0	0	0
aminobacter	11	0	0	0	0	18	40	0
leptolyngbya	0	0	0	1	0	0	62	0
tistrella	0	0	0	0	0	0	19	0
ignavibacterium	0	0	0	1	1	1	56	0
alkalibacter	0	0	0	1	0	3	141	0
dechloromonas	0	0	7	0	0	0	0	0
methylobacterium	14	9	6	53	17	54	30	2050
gemella	8	0	1	0	0	0	0	0
rhodopseudomonas	0	0	0	0	11	0	89	0
pantoea	6358	1877	171	803	35779	2089	12938	869
dokdonella	1	0	1	3	2	8	450	2
anaerobiospirillum	0	0	0	0	0	8	0	0
halothiobacillus	0	0	1	1	0	0	72	0
longilinea	0	0	2	9	0	0	507	0
aridibacter	0	0	1	2	0	0	238	0
bosea	0	0	0	0	36	1	43	1
rhodococcus	4	0	0	2	1	15	87	3
oxalobacter	23	6	15	50	76	35	54	2938
spiroplasma	0	0	0	0	3	0	0	1
mesorhizobium	0	0	0	0	12	5	0	0
klebsiella	3	4	0	5	36	2	23	0
haliangium	0	0	0	0	0	0	0	3
agrobacterium	0	0	0	0	0	85	0	0
pelistega	1	0	0	0	0	0	0	2
thiomicrospira	0	0	0	1	0	0	23	0
photobacterium	0	0	0	0	0	17	0	0
peptoniphilus	6	0	0	0	55	4	0	0
altererythrobacter	1	0	0	0	6	11	90	0
erysipelothrix	2	2	0	0	0	0	0	0
devosia	0	0	0	0	0	3	1	3
halomonas	3	4	59	3	71	34	61	0
pseudoxanthomonas	2	1	16	2	5	3	502	2
levilinea	0	0	0	0	0	0	87	0
xylella	0	0	0	0	0	5	0	0
comamonas	0	1	5	0	1	1	67	1
desulfuromonas	0	0	0	1	0	1	48	0
aphanothece	0	0	0	0	0	0	23	0
skermanella	0	0	0	4	0	4	2	79
dehalococcoides	0	0	0	1	0	0	16	0
staphylococcus	112	20	22	20	288	82	470	8
halospirulina	6	19	5	25	1878	163	13	203
actinomadura	0	0	0	0	0	0	16	0
roseovarius	0	0	0	0	0	17	0	0
finegoldia	1	0	1	2	1	10	77	0
candidatus alysiosphaera	1	0	0	0	0	0	0	18
stenotrophomonas	2	2	3	4	183	8	292	3
ethanoligenens	0	4	0	0	0	0	0	2
tepidiphilus	0	0	3	4	1	3	393	2
proteiniphilum	4	0	6	11	0	3	810	0
bradyrhizobium	1	1	0	1	1	1	168	0
rufibacter	0	0	41	0	0	0	0	0
laceyella	0	8	0	0	0	0	0	0
dietzia	7	0	69	3	21	0	20	6
deinococcus	0	0	0	0	0	0	0	4
veillonella	0	0	0	2	0	2	56	0
crocinitomix	0	0	0	3	0	0	89	0
atopostipes	5	9	68	13	258	86	91	2
burkholderia	3	9	0	0	15	0	61	4
roseburia	4	0	0	0	0	0	0	1
nubsella	0	0	1	1	1	35	185	0
candidatus soleaferrea	0	0	0	1	0	0	76	0
arthrobacter	8	9	7	55	8	62	84	907
cupriavidus	0	0	0	1	0	37	191	0
streptococcus	57	29	115	7	108	107	343	13
rubrobacter	0	0	0	0	0	0	19	0
methylophilus	1	0	0	0	21	0	0	0
thermus	0	0	0	0	0	0	4	0
modestobacter	0	1	0	7	0	1	3	91
pediococcus	0	0	0	1	0	0	0	4
massilia	80	50	75	281	222	200	115	19109
